x,y,z
1.0596,0.380502,0.835415
1.05542,0.386064,0.833458
1.05172,0.390957,0.832367
1.04766,0.394205,0.831502
1.04519,0.397452,0.832697
1.04295,0.401568,0.830357
1.03997,0.406002,0.831726
1.03626,0.40984,0.830965
1.03439,0.412123,0.830277
1.03175,0.414956,0.829709
1.02963,0.417459,0.830617
1.02627,0.419731,0.828967
1.02253,0.42126,0.82854
1.01922,0.423708,0.827915
1.01659,0.426507,0.827202
1.01353,0.428516,0.824847
1.01103,0.431756,0.822303
1.00739,0.4352,0.820628
1.00495,0.437988,0.819366
1.00231,0.440629,0.819025
1.00062,0.443437,0.818927
0.99876,0.446423,0.816105
0.997188,0.449219,0.813837
0.994629,0.45146,0.811564
0.991951,0.453119,0.810792
0.991124,0.457252,0.809801
0.988687,0.458736,0.810258
0.99226,0.458367,0.810614
0.993028,0.458958,0.809903
0.993827,0.458342,0.811716
0.993387,0.458617,0.811424
1.36778,0.201317,0.51052
1.36778,0.201317,0.51052
1.36206,0.207885,0.510038
1.34997,0.218448,0.515397
1.32594,0.23859,0.527402
1.29324,0.260135,0.547424
1.25409,0.279792,0.573124
1.21381,0.298442,0.604038
1.17573,0.316286,0.634584
1.14356,0.330324,0.667194
1.11386,0.347779,0.69764
1.08679,0.36218,0.723304
1.06778,0.374337,0.746307
1.04855,0.384392,0.764131
1.03694,0.392156,0.779587
1.02473,0.398671,0.790425
1.01429,0.405189,0.798112
1.00745,0.408902,0.802664
1.00127,0.412776,0.805345
0.996916,0.413497,0.805898
0.994204,0.41421,0.806141
0.988351,0.41957,0.804819
0.985911,0.421461,0.803981
0.983264,0.42298,0.802225
0.982078,0.423528,0.800305
0.981565,0.423422,0.79927
0.978425,0.424389,0.796771
0.970303,0.424508,0.788767
0.971419,0.425915,0.789066
0.97243,0.425789,0.788549
0.973888,0.426103,0.787757
0.973974,0.425368,0.78721
